洪荒之力	非常大的力量
悲催	非常悲惨，不称意，不顺心，失败，伤心，悔恨
杯具	悲剧
蛋疼	无奈,不爽
555  大哭
我可能进了一个假的     差的



很酸爽	很爽
很有b格	装逼的格调,能力
很有逼格	装逼的格调,能力
牛B	很厉害的意思
有范	有气质，有派头
嗨森	开心
牛X	很厉害的意思
给力	给劲、带劲
相当ok	非常好
牛逼	很厉害
养眼	舒服,协调
666  很棒很赞很厉害
233  大笑，开心
88  拜拜，再见
顶	支持
厉害了我的哥   赞赞赞，非常棒
一颗赛艇   惊喜，开心
因吹斯汀   有趣
喜大普奔   喜闻乐见、大快人心、普天同庆、奔走相告
